code,9750_out
NAJ,except with inbound connection
NAK,except with outbound connection
NAL,except with seat reference
NAM,except with check-in sequence number
NAN,except with boarding security reference
NAO,except through checked passengers
NAP,except upgraded passengers
NAQ,except downgraded passengers
NAR,except re-checked in passengers (all passengers transferred to and from flights)
NAS,except re-checked passengers transferred to a flight
NAT,except re-checked passengers transferred from a flight
NAU,except with group identifier
NAV,except with group size
NAW,except passenger with comments
NAX,except passenger with gate comments
NAY,except with PNR record locator
NAZ,except with extra seat info
NBA,except transit passengers (same aircraft)
NBB,except jump seat passengers
NBC,except crew seat passengers
NBD,except with cabin class
NBE,except passengers travelling alone
NBF,except passengers travelling with infants
NBG,except passengers with checked baggage
NBH,except with gender
NBI,except with specified ticket number
NBJ,except free travel passengers (Frequent Flyer redemption travel)
NBK,except with seat changes
NBL,except checked in passengers holding seats
NBM,except checked in passengers not holding seats
NBN,except passengers with pre-reserved seats
NBO,except passengers with advance boarding passes
NBP,except passengers with airport issued boarding passes
NBQ,except waitlisted passengers
NBR,except open ticket passengers
NBS,except youth ticket passengers
NBT,except rebate (not positive space) passengers
NBU,except duty/positive space passengers
NBV,except standby passengers
NBW,except goshow (norec) passengers
NBX,except noshow/not checked in passengers
NBY,except onloaded passengers
NBZ,except offloaded passengers
NCA,except all (full list) passengers
NCB,except unaccompanied minor passengers
NCC,except checked in passengers by check-in station
NCD,except misconnected passengers
NCE,except reconfirmed passengers
NCF,except oversold passengers
NCG,except name entered by airport prior to check-in
NCH,except passengers with alternate destination
NCI,except passengers willing to split
NCJ,except expected transfer passengers inbound through checked
NCK,except with specified unique passenger reference
NCL,except passengers with voucher
NCM,except passengers checked in by telephone 
NCN,except passengers checked in by self-service
NCO,except passengers check in by Inter Airline Through Check-in
NCP,except passengers checked in at railway
NCQ,except passengers checked in at hotel
OFB,Off Blocks
OFS,Off stand
ONB,On Blocks
ONS,On stand
P1,Last available for city pair date - for receiving choice of routing/carriers (combined seamless sell and availability)
P10,Basic booking
P2,Seamless Sell
P3,Last Seat Availability-specific carrier flight number
P4,Last Seat Availability-for a city pair and date for a specified carrier
P5,Record locator returned
P6,Seamless Availability
P7,Numeric AVS
PBK,Push Back
RDT,Ready time
RFA,Return from airborne
RST,Return to stand
SAT,Start up approval time
SCT,Scheduled time
SPE,Special - see text
SRT,Start up request time
STK,Stack
TDN,Touch down
TDP,Ten minutes before departure
TEN,10 minutes out
THM,30 Minutes out
TKO,Take Off
UNS,Aircraft unserviceable
WAB,Weight and balance
